B1,B10,B11,B2,B3,B4,B5,B6,B7,landcover
0.12230211,294.3134,289.91718,0.0960278,0.07369281,0.05001837,0.32657698,0.15881792,0.06483868,0
0.12758398,294.9273,290.86554,0.100121,0.085449174,0.055148855,0.3808368,0.17574427,0.06888044,0
0.12355025,294.461,290.24756,0.095798135,0.07298578,0.04740587,0.34303418,0.14463739,0.054488562,0
0.12079251,294.50427,290.22095,0.093911394,0.07246858,0.04783787,0.3324971,0.15612124,0.061804853,0
0.12178382,294.6979,290.72357,0.09539884,0.0776583,0.05800832,0.31381413,0.16505396,0.07241601,0
0.12236084,294.7882,291.31296,0.09341048,0.07205026,0.046128888,0.30710787,0.13395031,0.052191146,0
0.1264337,294.76862,290.90143,0.101002805,0.0864286,0.0630614,0.35315007,0.16779378,0.073251806,0
0.12352137,294.60672,290.70105,0.09838989,0.081062354,0.053213134,0.3525245,0.16109778,0.06759067,0
0.1276073,294.5877,290.52527,0.10371246,0.08638053,0.05676478,0.383888,0.16982934,0.06378212,0
0.12215392,295.1503,290.9191,0.09604727,0.077261284,0.050472345,0.3697419,0.1680355,0.06568336,0
0.1221314,295.56723,290.8661,0.09645272,0.08011339,0.052930843,0.3759528,0.16498487,0.06348912,0
0.125426,295.04767,290.17212,0.10178087,0.08143398,0.0559307,0.35549018,0.16146849,0.0664937,0
0.12954621,295.39563,290.77368,0.10450807,0.085935354,0.06129796,0.35425782,0.1774661,0.0708925,0
0.1276182,295.0021,290.49286,0.10301533,0.08792685,0.06285985,0.36329743,0.17495811,0.07297246,0
0.12706034,294.48505,290.2387,0.10215979,0.08702038,0.05895635,0.3471353,0.166926,0.07122716,0
0.12660748,294.27167,289.97644,0.1017379,0.084606364,0.059191383,0.3597141,0.1592795,0.064615786,0
0.120061114,294.07812,289.72702,0.093329914,0.071159124,0.045686603,0.34470594,0.14819594,0.057145394,0
0.124788545,294.57703,290.43048,0.09887773,0.07650834,0.05466097,0.33492917,0.16016237,0.0665071,0
0.11971214,295.5015,291.3511,0.09420885,0.06597618,0.04471243,0.31402907,0.13910285,0.05304059,0
0.119743735,295.5015,291.4215,0.091339506,0.06489391,0.040421,0.30809042,0.14132984,0.05426184,0
0.12281445,294.976,291.0662,0.09637897,0.07770507,0.04883296,0.34736133,0.14934051,0.05517707,0
0.12903768,294.1604,290.34964,0.10273805,0.0824458,0.054700937,0.3298087,0.14835817,0.055903934,0
0.12291978,294.2503,290.49152,0.09712847,0.07490718,0.051494334,0.33184466,0.15678824,0.063971445,0
0.13037008,294.35443,290.75116,0.10491039,0.08717354,0.060598627,0.33031827,0.14912325,0.05945199,0
0.12291302,294.81732,291.0852,0.09579461,0.074958846,0.048060883,0.3393248,0.14561759,0.05157636,0
0.12287599,294.73553,291.09854,0.09602192,0.07647581,0.04874869,0.32931682,0.14768538,0.05657017,0
0.12072977,294.30243,290.01505,0.09390715,0.0721641,0.048242077,0.32806253,0.15659878,0.06138461,0
0.12100233,294.5724,290.21042,0.094259806,0.07858238,0.051225707,0.33967215,0.16263384,0.06616245,0
0.12236351,294.59247,290.54993,0.0954412,0.07592261,0.051745906,0.3301896,0.15167862,0.061504804,0
0.122151,294.5329,290.58826,0.0950816,0.07407077,0.049188994,0.32962924,0.1534824,0.0620942,0
0.120448604,295.19183,291.26013,0.09346559,0.07432651,0.048196096,0.30725232,0.1308175,0.047772452,0
0.119294055,295.387,291.24838,0.09439467,0.07674212,0.04989167,0.30612683,0.13088934,0.05045635,0
0.119294055,295.45035,291.27188,0.09411594,0.068949506,0.0471902,0.29731467,0.1363251,0.052417994,0
0.11915808,295.59158,291.31882,0.09158728,0.06319373,0.039630778,0.3049535,0.13484044,0.05040652,0
0.1184598,295.5502,291.38925,0.09088901,0.06355292,0.039103966,0.3116105,0.13752241,0.051053066,0
0.11857243,295.48932,291.39218,0.09104668,0.06384028,0.0397984,0.31357408,0.1338826,0.04813164,0
0.11789154,295.53317,291.16907,0.08906447,0.062403515,0.039175805,0.2987275,0.13230217,0.04870635,0
0.11889213,295.521,290.99265,0.08985285,0.063481085,0.040756244,0.29333964,0.13402627,0.05141226,0
0.1192476,295.47473,290.9662,0.09413917,0.074628465,0.049682625,0.29144788,0.13443336,0.051723555,0
0.12174611,295.14777,290.95587,0.09457984,0.070259124,0.04739706,0.31600437,0.14487922,0.05690985,0
0.13378978,294.95715,290.9603,0.10799684,0.09432213,0.072272085,0.3144106,0.16163068,0.07370229,0
0.12934272,293.80627,290.70105,0.102504715,0.08998624,0.058501065,0.3086891,0.14324552,0.053711083,0
